RK,NAME,TEAM,SALARY
422,"Brad Wanamaker, PG",Indiana Pacers,"$1,669,178"
423,"Gary Payton II, G",Golden State Warriors,"$1,669,178"
424,"Otto Porter Jr., SF",Golden State Warriors,"$1,669,178"
425,"Nemanja Bjelica, PF",Golden State Warriors,"$1,669,178"
426,"Andre Iguodala, F",Golden State Warriors,"$1,669,178"
427,"Rodney McGruder, SG",Detroit Pistons,"$1,669,178"
428,"Austin Rivers, SG",Denver Nuggets,"$1,669,178"
429,"Frank Ntilikina, PG",Dallas Mavericks,"$1,669,178"
430,"Kevin Pangos, G",Cleveland Cavaliers,"$1,669,178"
431,"Ed Davis, C",Cleveland Cavaliers,"$1,669,178"
432,"Tony Bradley, C",Chicago Bulls,"$1,669,178"
433,"Matt Thomas, SG",Chicago Bulls,"$1,669,178"
434,"Javonte Green, SF",Chicago Bulls,"$1,669,178"
435,"Jabari Parker, PF",Boston Celtics,"$1,669,178"
436,"Enes Kanter, C",Boston Celtics,"$1,669,178"
437,"Timothe Luwawu-Cabarrot, SG",Atlanta Hawks,"$1,669,178"
438,"Solomon Hill, SF",Atlanta Hawks,"$1,669,178"
439,"Vernon Carey Jr., C",Charlotte Hornets,"$1,517,981"
440,"Nick Richards, C",Charlotte Hornets,"$1,517,981"
441,"Xavier Tillman Sr., C",Memphis Grizzlies,"$1,517,981"
442,"Sam Merrill, SG",Memphis Grizzlies,"$1,517,981"
443,"Freddie Gillespie, SF",Toronto Raptors,"$1,517,981"
444,"Caleb Homesley, SG",Washington Wizards,"$1,517,981"
445,"Anthony Gill, PF",Washington Wizards,"$1,517,981"
446,"Elijah Hughes, SF",Utah Jazz,"$1,517,981"
447,"Mamadi Diakite, F",Oklahoma City Thunder,"$1,517,981"
448,"Tre Jones, PG",San Antonio Spurs,"$1,517,981"
449,"Jahmi'us Ramsey, SG",Sacramento Kings,"$1,517,981"
450,"Robert Woodard II, SF",Sacramento Kings,"$1,517,981"
451,"CJ Elleby, SG",Portland Trail Blazers,"$1,517,981"
452,"Isaiah Joe, SG",Philadelphia 76ers,"$1,517,981"
453,"Paul Reed, SF",Philadelphia 76ers,"$1,517,981"
454,"Jordan Nwora, SF",Milwaukee Bucks,"$1,517,981"
455,"Elijah Bryant, SG",Milwaukee Bucks,"$1,517,981"
456,"Kenyon Martin Jr., F",Houston Rockets,"$1,517,981"
457,"Jae'Sean Tate, SF",Houston Rockets,"$1,517,981"
458,"Deividas Sirvydis, SG",Detroit Pistons,"$1,517,981"
459,"Tyrell Terry, PG",Dallas Mavericks,"$1,517,981"
460,"Lamar Stevens, F",Cleveland Cavaliers,"$1,517,981"
461,"Daniel Oturu, C",Chicago Bulls,"$1,517,981"
462,"Naji Marshall, SF",New Orleans Pelicans,"$1,517,981"
463,"Isaiah Todd, PF",Washington Wizards,"$1,500,000"
464,"Omer Yurtseven, C",Miami Heat,"$1,489,065"
465,"Armoni Brooks, SG",Houston Rockets,"$1,489,065"
466,"Saben Lee, PG",Detroit Pistons,"$1,489,065"
467,"JT Thor, PF",Charlotte Hornets,"$1,250,000"
468,"Jason Preston, PG",LA Clippers,"$1,062,303"
469,"Isaiah Livers, PF",Detroit Pistons,"$1,057,260"
470,"Dalano Banton, PG",Toronto Raptors,"$925,258"
471,"Jared Butler, SG",Utah Jazz,"$925,258"
472,"Vit Krejci, SF",Oklahoma City Thunder,"$925,258"
473,"Jock Landale, C",San Antonio Spurs,"$925,258"
474,"Greg Brown III, PF",Portland Trail Blazers,"$925,258"
475,"Charles Bassey, C",Philadelphia 76ers,"$925,258"
476,"Miles McBride, PG",New York Knicks,"$925,258"
477,"Georgios Kalaitzakis, SF",Milwaukee Bucks,"$925,258"
478,"Brandon Boston Jr., SG",LA Clippers,"$925,258"
479,"Luka Garza, C",Detroit Pistons,"$925,258"
480,"Marko Simonovic, C",Chicago Bulls,"$925,258"
481,"Ayo Dosunmu, SG",Chicago Bulls,"$925,258"
