RK,NAME,TEAM,SALARY
218,"Garrett Temple, SF",Brooklyn Nets,"$4,767,000"
219,"Enes Kanter, C",Boston Celtics,"$4,767,000"
220,"Collin Sexton, PG",Cleveland Cavaliers,"$4,764,960"
221,"Rui Hachimura, PF",Washington Wizards,"$4,469,160"
222,"Kevon Looney, C",Golden State Warriors,"$4,464,226"
223,"Dennis Smith Jr., PG",New York Knicks,"$4,463,640"
224,"Jamal Murray, PG",Denver Nuggets,"$4,444,746"
225,"Kevin Knox II, SF",New York Knicks,"$4,380,120"
226,"Luc Mbah a Moute, F",Houston Rockets,"$4,320,500"
227,"Cam Reddish, SF",Atlanta Hawks,"$4,245,720"
228,"Zach Collins, PF",Portland Trail Blazers,"$4,240,200"
229,"Mikal Bridges, SF",Phoenix Suns,"$4,161,000"
230,"Alex Len, C",Sacramento Kings,"$4,160,000"
231,"Nicolo Melli, PF",New Orleans Pelicans,"$4,102,564"
232,"Cameron Johnson, SF",Phoenix Suns,"$4,033,440"
233,"Malik Monk, SG",Charlotte Hornets,"$4,028,400"
234,"Patrick McCaw, SF",Toronto Raptors,"$4,000,000"
235,"JaVale McGee, C",Los Angeles Lakers,"$4,000,000"
236,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
237,"Reggie Bullock, SF",New York Knicks,"$4,000,000"
238,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$3,952,920"
239,"P.J. Washington, PF",Charlotte Hornets,"$3,831,840"
240,"Luke Kennard, SG",Detroit Pistons,"$3,827,160"
241,"Miles Bridges, SF",Charlotte Hornets,"$3,755,400"
242,"Jakob Poeltl, C",San Antonio Spurs,"$3,754,886"
243,"Tyler Herro, PG",Miami Heat,"$3,640,200"
244,"Donovan Mitchell, SG",Utah Jazz,"$3,635,760"
245,"Stanley Johnson, F",Toronto Raptors,"$3,623,000"
246,"Jake Layman, SF",Minnesota Timberwolves,"$3,581,986"
247,"Thon Maker, F",Detroit Pistons,"$3,569,643"
248,"Jerome Robinson, SG",Washington Wizards,"$3,567,720"
249,"Allonzo Trier, G",New York Knicks,"$3,551,000"
250,"Danuel House Jr., SF",Houston Rockets,"$3,540,000"
251,"Domantas Sabonis, PF",Indiana Pacers,"$3,529,555"
252,"Michael Beasley, F",Brooklyn Nets,"$3,500,000"
253,"DeMarcus Cousins, C",LA Clippers,"$3,500,000"
254,"T.J. McConnell, PG",Indiana Pacers,"$3,500,000"
255,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
256,"Dario Saric, PF",Phoenix Suns,"$3,481,986"
257,"Taurean Prince, PF",Brooklyn Nets,"$3,481,986"
258,"Romeo Langford, SG",Boston Celtics,"$3,458,400"
259,"Bam Adebayo, C",Miami Heat,"$3,454,080"
260,"Michael Porter Jr., SF",Denver Nuggets,"$3,389,400"
261,"Denzel Valentine, SG",Chicago Bulls,"$3,377,569"
262,"Juancho Hernangomez, F",Minnesota Timberwolves,"$3,321,030"
263,"Sekou Doumbouya, SF",Detroit Pistons,"$3,285,120"
264,"Justin Jackson, SF",Dallas Mavericks,"$3,280,920"
265,"Troy Brown Jr., SF",Washington Wizards,"$3,219,480"
266,"Yogi Ferrell, PG",Sacramento Kings,"$3,150,000"
267,"Zhaire Smith, G",Philadelphia 76ers,"$3,058,800"
268,"Khem Birch, C",Orlando Magic,"$3,000,000"
269,"Quinn Cook, PG",Los Angeles Lakers,"$3,000,000"
270,"Ryan Arcidiacono, PG",Chicago Bulls,"$3,000,000"
271,"Nickeil Alexander-Walker, SG",New Orleans Pelicans,"$2,964,840"
272,"D.J. Wilson, PF",Milwaukee Bucks,"$2,961,120"
273,"Cedi Osman, SF",Cleveland Cavaliers,"$2,907,143"
274,"Donte DiVincenzo, SG",Milwaukee Bucks,"$2,905,800"
275,"Bryn Forbes, SG",San Antonio Spurs,"$2,875,000"
276,"Goga Bitadze, C",Indiana Pacers,"$2,816,760"
277,"T.J. Leaf, PF",Indiana Pacers,"$2,813,280"
278,"Alex Caruso, SG",Los Angeles Lakers,"$2,750,000"
279,"Malik Beasley, SG",Minnesota Timberwolves,"$2,731,714"
280,"Lonnie Walker IV, SG",San Antonio Spurs,"$2,689,920"
281,"Luka Samanic, PF",San Antonio Spurs,"$2,689,920"
282,"John Collins, PF",Atlanta Hawks,"$2,686,560"
283,"Kevin Huerter, SG",Atlanta Hawks,"$2,636,280"
284,"Caris LeVert, SG",Brooklyn Nets,"$2,625,718"
285,"Marko Guduric, G",Memphis Grizzlies,"$2,625,000"
286,"DeAndre' Bembry, SG",Atlanta Hawks,"$2,603,982"
287,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,582,160"
288,"Harry Giles III, PF",Sacramento Kings,"$2,578,800"
289,"Wesley Matthews, SG",Milwaukee Bucks,"$2,564,753"
290,"Rajon Rondo, PG",Los Angeles Lakers,"$2,564,753"
291,"Nene Hilario, C",Atlanta Hawks,"$2,564,753"
292,"Josh Okogie, SF",Minnesota Timberwolves,"$2,530,680"
293,"Vincent Poirier, C",Boston Celtics,"$2,505,793"
294,"Manu Ginobili, G",San Antonio Spurs,"$2,500,000"
295,"Rondae Hollis-Jefferson, SF",Toronto Raptors,"$2,500,000"
296,"Brandon Clarke, PF",Memphis Grizzlies,"$2,478,840"
297,"Terrance Ferguson, SF",Oklahoma City Thunder,"$2,475,840"
298,"Emeka Okafor, C",Philadelphia 76ers,"$2,445,085"
299,"Kendrick Perkins, C",Cleveland Cavaliers,"$2,445,085"
300,"Grayson Allen, SG",Memphis Grizzlies,"$2,429,400"
301,"Grant Williams, PF",Boston Celtics,"$2,379,840"
302,"Jarrett Allen, C",Brooklyn Nets,"$2,376,840"
303,"Pascal Siakam, PF",Toronto Raptors,"$2,351,839"
304,"Skal Labissiere, F",Portland Trail Blazers,"$2,338,847"
305,"Chandler Hutchison, SF",Chicago Bulls,"$2,332,320"
306,"Aaron Holiday, PG",Indiana Pacers,"$2,329,200"
307,"Dejounte Murray, PG",San Antonio Spurs,"$2,321,735"
308,"Damian Jones, C",Atlanta Hawks,"$2,305,057"
309,"Darius Bazley, PF",Oklahoma City Thunder,"$2,284,800"
310,"OG Anunoby, SF",Toronto Raptors,"$2,281,800"
311,"Ante Zizic, C",Cleveland Cavaliers,"$2,281,800"
312,"Luke Kornet, C",Chicago Bulls,"$2,250,000"
313,"Brandon Jennings, G",Milwaukee Bucks,"$2,222,803"
314,"Ty Jerome, SG",Phoenix Suns,"$2,193,480"
315,"Willie Cauley-Stein, C",Dallas Mavericks,"$2,177,483"
316,"Anfernee Simons, SG",Portland Trail Blazers,"$2,149,560"
317,"Austin Rivers, SG",Houston Rockets,"$2,147,317"
318,"Nassir Little, SF",Portland Trail Blazers,"$2,105,520"
319,"Moritz Wagner, C",Washington Wizards,"$2,063,520"
320,"Sean Kilpatrick, G",Chicago Bulls,"$2,054,856"
321,"Dylan Windler, SG",Cleveland Cavaliers,"$2,035,800"
322,"Caleb Swanigan, F",Portland Trail Blazers,"$2,033,160"
323,"Mike Muscala, C",Oklahoma City Thunder,"$2,028,594"
324,"Ben McLemore, SG",Houston Rockets,"$2,028,594"
325,"Edmond Sumner, PG",Indiana Pacers,"$2,000,000"
326,"Noah Vonleh, F",Denver Nuggets,"$2,000,000"
327,"Torrey Craig, SF",Denver Nuggets,"$2,000,000"
328,"Landry Shamet, SG",LA Clippers,"$1,995,120"
329,"Mfiondu Kabengele, C",LA Clippers,"$1,977,000"
330,"Kyle Kuzma, SF",Los Angeles Lakers,"$1,974,600"
331,"Jordan Poole, SG",Golden State Warriors,"$1,964,760"
332,"Tony Bradley, C",Utah Jazz,"$1,962,360"
333,"Keldon Johnson, SF",San Antonio Spurs,"$1,950,600"
334,"Derrick White, PG",San Antonio Spurs,"$1,948,080"
335,"Robert Williams III, C",Boston Celtics,"$1,937,520"
336,"Jacob Evans, G",Minnesota Timberwolves,"$1,925,880"
337,"Dzanan Musa, F",Brooklyn Nets,"$1,911,600"
338,"Omari Spellman, F",Golden State Warriors,"$1,897,800"
339,"James Ennis III, SF",Orlando Magic,"$1,882,867"
340,"Shabazz Napier, G",Washington Wizards,"$1,845,301"
341,"Bruno Caboclo, F",Houston Rockets,"$1,845,301"
342,"DeAndre Liggins, G",Miami Heat,"$1,795,015"
343,"Markieff Morris, PF",Los Angeles Lakers,"$1,750,000"
344,"Mario Hezonja, F",Portland Trail Blazers,"$1,737,145"
345,"Cameron Payne, PG",Phoenix Suns,"$1,737,145"
346,"Pat Connaughton, SG",Milwaukee Bucks,"$1,723,050"
347,"Jahlil Okafor, C",New Orleans Pelicans,"$1,702,486"
348,"Rodions Kurucs, SF",Brooklyn Nets,"$1,699,236"
349,"Jonah Bolden, PF",Phoenix Suns,"$1,698,450"
350,"Cheick Diallo, F",Phoenix Suns,"$1,678,854"
351,"Dragan Bender, F",Golden State Warriors,"$1,678,854"
352,"Willy Hernangomez, C",Charlotte Hornets,"$1,676,735"
353,"Julyan Stone, G",Chicago Bulls,"$1,656,092"
354,"MarShon Brooks, G",Chicago Bulls,"$1,656,092"
355,"Josh Hart, SG",New Orleans Pelicans,"$1,655,160"
356,"Georges Niang, F",Utah Jazz,"$1,645,357"
357,"Treveon Graham, F",Atlanta Hawks,"$1,645,357"
358,"Christian Wood, C",Detroit Pistons,"$1,645,357"
359,"Jordan McRae, G",Detroit Pistons,"$1,645,357"
360,"Derrick Jones Jr., SF",Miami Heat,"$1,645,357"
361,"Tim Frazier, PG",Detroit Pistons,"$1,620,564"
362,"Isaiah Taylor, G",Toronto Raptors,"$1,620,564"
363,"Raul Neto, PG",Philadelphia 76ers,"$1,620,564"
364,"Emmanuel Mudiay, G",Utah Jazz,"$1,620,564"
365,"Tyler Lydon, F",Sacramento Kings,"$1,620,564"
366,"Glenn Robinson III, F",Philadelphia 76ers,"$1,620,564"
367,"Patrick Patterson, PF",LA Clippers,"$1,620,564"
368,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,620,564"
369,"Shaquille Harrison, SG",Chicago Bulls,"$1,620,564"
370,"Kyle O'Quinn, C",Philadelphia 76ers,"$1,620,564"
371,"Michael Carter-Williams, PG",Orlando Magic,"$1,620,564"
372,"Nerlens Noel, C",Oklahoma City Thunder,"$1,620,564"
373,"Alec Burks, SG",Philadelphia 76ers,"$1,620,564"
374,"Wilson Chandler, F",Brooklyn Nets,"$1,620,564"
375,"Kyle Korver, G",Milwaukee Bucks,"$1,620,564"
376,"Udonis Haslem, PF",Miami Heat,"$1,620,564"
377,"Jared Dudley, SF",Los Angeles Lakers,"$1,620,564"
378,"Dwight Howard, C",Los Angeles Lakers,"$1,620,564"
379,"JaKarr Sampson, SF",Indiana Pacers,"$1,620,564"
380,"Justin Patton, C",Oklahoma City Thunder,"$1,620,564"
381,"Ryan Anderson, PF",Houston Rockets,"$1,620,564"
382,"Thabo Sefolosha, F",Houston Rockets,"$1,620,564"
383,"Gerald Green, G",Houston Rockets,"$1,620,564"
384,"Tyson Chandler, C",Houston Rockets,"$1,620,564"
385,"Jordan Bell, F",Memphis Grizzlies,"$1,620,564"
386,"Joe Johnson, G",Detroit Pistons,"$1,620,564"
387,"Trey Burke, PG",Dallas Mavericks,"$1,620,564"
388,"J.J. Barea, G",Dallas Mavericks,"$1,620,564"
389,"Jarell Martin, F",Cleveland Cavaliers,"$1,620,564"
390,"Isaiah Thomas, G",Washington Wizards,"$1,620,564"
391,"Vince Carter, G",Atlanta Hawks,"$1,620,564"
392,"Dillon Brooks, SF",Memphis Grizzlies,"$1,618,520"
393,"Royce O'Neale, PF",Utah Jazz,"$1,618,520"
394,"Abdel Nader, SF",Oklahoma City Thunder,"$1,618,520"
395,"Dwayne Bacon, SG",Charlotte Hornets,"$1,618,520"
396,"Semi Ojeleye, PF",Boston Celtics,"$1,618,520"
397,"Frank Jackson, PG",New Orleans Pelicans,"$1,618,520"
398,"Sterling Brown, SF",Milwaukee Bucks,"$1,618,520"
399,"Damyean Dotson, SG",New York Knicks,"$1,618,520"
400,"Wes Iwundu, SF",Orlando Magic,"$1,618,420"
401,"Dwight Buycks, G",Detroit Pistons,"$1,600,520"
402,"Mitchell Robinson, C",New York Knicks,"$1,599,712"
403,"Chris Boucher, PF",Toronto Raptors,"$1,588,231"
404,"Malcolm Miller, F",Toronto Raptors,"$1,588,231"
405,"Monte Morris, PG",Denver Nuggets,"$1,588,231"
406,"Antonio Blakeney, G",Chicago Bulls,"$1,588,231"
407,"Tyrone Wallace, SG",Atlanta Hawks,"$1,588,231"
408,"Malachi Richardson, G",Philadelphia 76ers,"$1,569,360"
409,"Georgios Papagiannis, C",Portland Trail Blazers,"$1,544,951"
410,"Chinanu Onuaku, C",Portland Trail Blazers,"$1,544,951"
411,"Wade Baldwin IV, G",Indiana Pacers,"$1,544,951"
412,"Isaiah Whitehead, G",Detroit Pistons,"$1,544,951"
413,"Paul Zipser, F",Chicago Bulls,"$1,544,951"
414,"Amile Jefferson, F",Orlando Magic,"$1,529,007"
415,"Omri Casspi, F",Memphis Grizzlies,"$1,512,601"
416,"Lorenzo Brown, G",Guangzhou Guangzhou Long-Lions,"$1,512,601"
417,"Isaiah Canaan, G",Milwaukee Bucks,"$1,512,601"
418,"Dwyane Wade, G",Miami Heat,"$1,512,601"
419,"Nigel Williams-Goss, G",Utah Jazz,"$1,500,000"
420,"Isaiah Roby, F",Oklahoma City Thunder,"$1,500,000"
421,"Alfonzo McKinnie, SF",Cleveland Cavaliers,"$1,500,000"
422,"Shake Milton, SG",Philadelphia 76ers,"$1,455,697"
423,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,445,697"
424,"Brad Wanamaker, PG",Boston Celtics,"$1,445,697"
