RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Josh Christopher,Hou,G,19.93,7,7.3,15.2,19.5,16.8,2,1,14,0.429,5,0.2,0.395,0.428,2.4,1,7.3,0.9,18.3,0.57,0,0.57,7.1,88.3,105
,Brandon Clarke,Mem,F,25.15,8,14.1,29.3,18.7,4,12,0.583,37,0.568,6,0,0.488,0.507,6.1,3.8,14.1,0.9,9.3,0.38,0.5,0.25,7.8,118.1,106.9
,Jordan Clarkson,Uta,G,29.43,12,25.1,52.3,29.8,9.6,26,0.885,66,0.53,111,0.234,0.418,0.454,14.3,2.7,5.7,1.7,10.7,0.75,0.33,1.67,6.4,93.1,103.4
,Nic Claxton,Bro,F-C,22.57,4,18.9,39.4,15.8,11.1,9,0.444,20,0.55,0,0,0.55,0.543,6.5,5.5,15.1,0.8,5.9,0,1,0.75,6.5,104,98.7
,Amir Coffey,Lac,G-F,24.41,7,6.9,14.3,16.2,5.5,7,1,4,0.25,10,0.2,0.286,0.439,2.1,1,7.5,0.3,5.4,0,0,0.14,5,98.1,100.5
,John Collins,Atl,F-C,24.14,12,31.1,64.8,17.7,9.7,28,0.821,94,0.628,33,0.455,0.642,0.668,15.5,8.5,14.6,2.3,11.7,0.75,0.75,1.25,8.6,131.6,105.3
,Mike Conley,Uta,G,34.09,10,28.9,60.2,19.9,12.7,17,0.882,44,0.545,65,0.431,0.606,0.631,14.7,2,3.7,5.2,28,1.5,0.3,1.7,7.4,126.3,101.3
,Pat Connaughton,Mil,G,28.85,12,29.2,60.9,14.6,9.1,6,0.667,30,0.667,77,0.377,0.593,0.597,10.9,5,8.8,1.8,9.2,0.83,0.25,0.92,6.3,118.4,106.7
,Sharife Cooper,Atl,G,20.42,2,3.4,7,25.6,25,0,0,1,0,2,0,0,0,0,0,0,1,35.5,0,0,0.5,0,,
,Petr Cornelie,Den,F,26.3,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Robert Covington,Por,F,30.91,12,29,60.4,9.6,14,1,1,10,0.6,57,0.404,0.604,0.608,6.8,4.9,9,1,4.5,1.17,0.75,0.92,4.4,109.8,105.1
,Torrey Craig,Ind,F,30.9,13,18.6,38.7,13.9,14.2,13,0.846,30,0.633,31,0.323,0.557,0.592,6.1,3.6,10.7,1.1,7.9,0.46,0.31,0.85,6.2,119.8,102.9
,Jae Crowder,Pho,F,31.35,10,29.7,61.8,13.4,7.6,9,0.889,28,0.536,53,0.302,0.481,0.506,8.6,5.4,9.7,1.8,7.7,1.4,0.5,0.7,5.9,104.6,102.9
