RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,JaVale McGee,Pho,C-F,33.81,10,16.8,35,23.4,17.6,23,0.565,65,0.646,0,0,0.646,0.646,9.7,6.4,20.3,0.6,5.6,0.1,0.8,1.6,8,111.1,92.5
,Rodney McGruder,Det,G,30.29,5,4.7,9.8,9.1,0,0,0,2,0,3,0.333,0.3,0.3,0.6,0.6,6.9,0.4,12.3,0,0.2,0,4.5,84.1,111.1
,JaQuori McLaughlin,Dal,G,23.79,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,1,74.8,0,0,0,0,,
,Jordan McLaughlin,Min,G,25.59,9,11.8,24.6,13,17.8,6,0.667,12,0.417,13,0.154,0.32,0.362,2.2,1.1,4.8,2.2,26.2,0.78,0,0.67,5.9,91.9,110.9
,Ben McLemore,Por,G,28.75,3,7.6,15.8,26.2,14.4,2,1,1,1,10,0.3,0.5,0.547,4.3,0,0,0.3,6.5,0,0,0.67,0,97.4,114.5
,De'Anthony Melton,Mem,G,23.46,11,28.8,60.1,18.8,10.5,10,0.8,60,0.45,63,0.365,0.5,0.514,11.9,4.7,8.7,2.5,12.7,1.73,1,1.36,7.2,105.6,109.2
,Sam Merrill,Mem,G,25.49,3,12.7,26.5,19,11.5,3,0.333,0,0,14,0.286,0.429,0.424,4.3,0.7,2.8,1,10.5,0,0,0.67,4.5,86.9,117.2
,Chimezie Metu,Sac,F-C,24.64,3,14.1,29.4,19.2,21.1,0,0,5,0.6,10,0.4,0.6,0.6,6,4,15,1.3,13.8,0.67,0,1.33,8.9,100.6,102.2
,Khris Middleton,Mil,F,30.25,6,31.5,65.6,30.4,15.6,27,0.852,67,0.522,35,0.257,0.475,0.527,20,4.7,7.7,4.5,24.2,2,0.17,3.5,9.5,100,102.7
,Paul Millsap,Bro,F,36.75,11,11.1,23.2,15.2,14.3,11,0.727,15,0.467,16,0.25,0.419,0.474,3.1,3.5,16.1,0.9,11.2,0.18,0.45,0.55,7.7,101.2,86.3
,Patty Mills,Bro,G,33.25,12,24.5,51,17.4,8.7,10,0.9,39,0.308,62,0.452,0.535,0.555,9.8,1.9,4.1,2.8,16.5,0.42,0.17,0.83,6.1,110.7,104
,Shake Milton,Phi,G-F,25.13,9,25,52.1,22.4,10.7,18,0.889,64,0.563,28,0.286,0.522,0.56,12.4,3.4,7.5,3.4,21,0.67,0.22,1.33,8.4,114.4,105.7
,Davion Mitchell,Sac,G,23.19,12,27.3,57,18.7,9,11,0.636,73,0.479,53,0.283,0.456,0.466,10.2,2.7,5.1,3.9,20.5,0.58,0.25,1.08,7,101.5,106.4
,Donovan Mitchell,Uta,G,25.18,11,32.6,67.9,34.8,10.7,40,0.9,126,0.548,115,0.322,0.517,0.551,25.9,4.3,7.1,5.2,30.3,1.64,0.18,2.82,10.2,112.4,100
,Evan Mobley,Cle,C,20.4,12,33.6,70,19.5,11.6,40,0.8,122,0.557,20,0.25,0.532,0.573,15.3,7.9,12.6,2.5,11.7,0.83,1.25,1.75,8,113.6,101.9
,Malik Monk,Lal,G,23.77,12,21,43.7,17,12.7,12,0.75,34,0.559,50,0.38,0.565,0.582,8.7,2,4.9,1.9,12.7,0.67,0.17,1.08,6.1,109.8,108.7
,Moses Moody,Gol,G,19.45,9,6.8,14.2,13.8,5,2,0.5,8,0.625,10,0.2,0.444,0.45,1.9,0.9,6.9,0.3,6.5,0,0.11,0.11,4.7,93.7,101.8
,Ja Morant,Mem,G,22.26,11,35.3,73.5,32.5,14.6,68,0.779,172,0.529,55,0.345,0.526,0.568,26.5,5.7,8.6,7.3,36.2,1.73,0.27,4,11.7,112,113.3
,Marcus Morris Sr.,Lac,F,32.2,2,27.4,57.1,15.7,5,2,1,7,0.571,11,0.273,0.472,0.503,9.5,0.5,0.9,0.5,2.6,1,0.5,0.5,1.9,98.1,95.2
,Markieff Morris,Mia,F,32.2,10,18.7,39,19.4,14.3,5,1,48,0.5,22,0.364,0.514,0.533,7.7,2.8,8,1.4,11.3,0.3,0.1,1.2,6.7,105.5,97.4
,Monte Morris,Den,G,26.38,11,29.5,61.5,17.8,12.2,6,0.5,68,0.544,44,0.318,0.518,0.519,10.8,2.3,4.2,3.8,19.1,0.73,0.09,1.45,6.2,104.2,102.7
,Mychal Mulder,Orl,G,27.42,3,3.7,7.8,27,14.3,0,0,4,0,2,0.5,0.25,0.25,1,0.7,9.5,0.3,13.4,0,0,0.33,6.4,,
,Trey Murphy III,Nor,F,21.4,12,19.5,40.7,13.8,11.7,5,0.8,18,0.222,48,0.333,0.424,0.44,5,2.5,6.7,0.8,6.1,0.33,0.25,0.75,4.4,90.7,110.6
,Dejounte Murray,San,G,25.15,11,34.2,71.3,25.2,10.3,23,0.739,146,0.479,45,0.333,0.484,0.502,18.4,7.9,12.2,8.2,35.1,2.18,0.45,2.09,12.4,107.1,98.9
,Mike Muscala,Okc,F-C,30.37,8,15,31.2,21.7,4.9,25,0.76,17,0.529,30,0.467,0.638,0.681,9.9,3.4,11.2,0.6,7.5,0.63,0.63,0.38,7.3,134.5,98.1
,Svi Mykhailiuk,Tor,G-F,24.43,13,18.8,39.3,15.9,14.2,19,0.895,32,0.625,38,0.395,0.607,0.651,7.8,2.8,8,1.2,9,0.85,0,1,6.3,122.7,102.5
,Abdel Nader,Pho,F,28.13,9,10.4,21.6,16,20.2,6,0.833,16,0.375,9,0.222,0.36,0.416,2.6,1.7,8.6,0.6,6.7,0.56,0.33,0.78,5.3,81.1,100.6
,Larry Nance Jr.,Por,F-C,28.86,12,18,37.4,13.3,17.9,9,0.556,34,0.618,17,0.353,0.588,0.591,5.4,5,14.7,1.3,10.1,0.58,0.5,1,7.3,115.1,104.1
,RJ Nembhard Jr.,Cle,G,22.64,1,1.9,4,22.9,0,0,0,1,1,0,0,1,1,2,0,0,1,180.6,0,0,0,0,,
,Aaron Nesmith,Bos,G-F,22.07,8,9.6,19.9,16,10.7,0,0,5,0.4,20,0.2,0.32,0.32,2,1.4,7.7,0.5,7.3,0.38,0,0.38,4.7,73.1,99.8
,Raul Neto,Was,G,29.48,10,21.8,45.4,17.6,16.1,7,1,51,0.608,19,0.263,0.55,0.575,8.4,2.5,6.1,2.9,20.4,1.2,0.1,1.4,7.2,107.4,97.3
,Georges Niang,Phi,F,28.41,13,22.9,47.7,21.5,4.9,20,0.9,47,0.511,79,0.405,0.571,0.601,12.5,2.3,5.5,1.8,11.7,0.54,0.23,0.54,6.5,121.2,103.5
,Zeke Nnaji,Den,F-C,20.84,4,7.9,16.5,26.2,0,4,0.75,10,0.7,7,0.571,0.765,0.773,7.3,2.3,15.6,0,0,0,0.25,0,0,150,96.3
,Nerlens Noel,Nyk,C-F,27.59,4,21.2,44.1,8.4,30.9,5,1,9,0.778,0,0,0.778,0.848,4.8,6.8,16.9,0.5,3.2,1.5,1.25,1.25,4.8,140.9,96.3
,Jaylen Nowell,Min,G,22.35,3,7.9,16.5,17.4,10,0,0,7,0.286,2,0,0.222,0.222,1.3,0.7,4.3,1.3,24.1,0.33,0,0.33,5.4,71.2,114.4
,Frank Ntilikina,Dal,G,23.29,10,13.6,28.3,17.3,9.3,8,1,22,0.5,23,0.304,0.478,0.526,5.1,2,7.7,1.1,12.4,0.5,0.2,0.5,6.6,108.4,101.5
,Jusuf Nurkic,Por,C,27.22,12,24.7,51.4,20,18.7,38,0.684,87,0.609,9,0.222,0.583,0.612,11.5,11.5,24.7,2.3,14.1,1.42,0.58,2.17,10.9,116.3,95.7
,David Nwaba,Hou,G-F,28.83,11,13.5,28.1,15.9,12.4,12,0.583,36,0.528,8,0,0.432,0.457,4.1,3.5,13.6,0.9,10.4,0.91,0.36,0.64,7,95.2,98.8
,Jordan Nwora,Mil,F,23.18,12,21.1,43.9,20.1,10.1,9,0.778,51,0.471,52,0.308,0.466,0.481,8.6,3.8,9.2,1.4,10.1,0.08,0.58,1,6.8,96.4,107.5
,Semi Ojeleye,Mil,F,26.94,7,19,39.5,10.7,12,5,0.6,8,0.5,19,0.316,0.481,0.497,4.1,3.7,10.1,0.3,2,0.29,0.14,0.57,3.5,110,105.2
,Chuma Okeke,Orl,F,23.24,6,19.4,40.3,16.9,17.6,10,1,15,0.533,18,0.111,0.333,0.428,5.3,3.3,9.1,1.5,11.5,0.67,0.33,1.33,6.1,86.3,108.7
,Josh Okogie,Min,G,23.2,8,14.8,30.9,11.1,12.6,11,0.545,15,0.4,8,0.25,0.391,0.431,3,2.6,9.1,1,9.4,0.88,0.25,0.5,5.4,102,106.2
,Isaac Okoro,Cle,F-G,20.79,5,27.2,56.7,10.7,8.9,8,0.625,20,0.55,7,0.143,0.463,0.491,6,3.4,6.7,1.6,8.1,0.4,0.6,0.6,4.7,110.7,102.3
,KZ Okpala,Mia,F-G,22.54,5,3.7,7.7,4.7,0,0,0,1,0,1,1,0.75,0.75,0.6,0.6,8.8,0,0,0,0,0,0,,
,Kelly Olynyk,Det,F-C,30.57,10,23,47.9,23.7,11.7,35,0.6,57,0.544,41,0.341,0.531,0.551,12.5,5.3,12.5,2.3,18.6,1.4,0.7,1.5,9.3,108.5,97.6
,Eugene Omoruyi,Dal,F,24.74,2,5.2,10.8,24.3,0,4,0.5,2,0.5,2,0.5,0.625,0.608,3.5,2.5,25,0.5,16.2,0,0,0,12.6,136.6,96.6
,Royce O'Neale,Uta,F,28.44,12,31.4,65.4,10.4,16.5,13,0.692,25,0.76,45,0.311,0.571,0.588,7.4,4.5,7.7,2.3,9.8,1.75,0.5,1.25,5.4,115.2,99.8
,Miye Oni,Uta,G-F,24.27,5,1.9,3.9,0,,0,0,0,0,0,0,,,0,0.4,11.6,0.4,26.2,0,0,0,0,,
,Cedi Osman,Cle,F,26.6,11,20.4,42.4,17.7,12.1,14,0.643,17,0.529,57,0.439,0.628,0.636,9.3,2.5,6.5,1.5,10.7,0.36,0.18,1,6.4,116.5,104.6
,Kelly Oubre Jr.,Cha,F-G,25.93,13,26.8,55.8,21.2,6.7,27,0.667,72,0.5,83,0.386,0.542,0.557,14.3,4.5,8.6,1.3,7.2,0.85,0.15,0.92,6.5,112.1,108.1
,Kevin Pangos,Cle,G,28.79,3,2.6,5.5,16.5,33.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.33,0,,
,Jabari Parker,Bos,F,26.66,4,10.1,21.1,19.4,11.1,0,0,10,0.6,6,0.667,0.75,0.75,6,1.8,9.2,0.3,4.5,0.25,0.25,0.5,5.9,122.4,96.3
,Eric Paschall,Uta,F,25.02,12,15.1,31.4,13,9.1,13,0.692,16,0.75,28,0.286,0.545,0.573,4.8,2.8,9.9,0.7,6.2,0.17,0.17,0.42,5.6,122.7,104.6
,Chris Paul,Pho,G,36.52,10,32.3,67.3,19,16.9,37,0.811,77,0.519,25,0.4,0.539,0.592,14,4.4,7.3,10.9,45.9,2.1,0.6,2.4,10.8,125.2,103.6
,Cameron Payne,Pho,G,27.26,5,16.8,35,29.4,19.2,12,0.75,23,0.522,18,0.333,0.512,0.551,10.2,2.2,7,2.4,21.2,0.6,0.2,2.2,9,96.4,100.5
,Gary Payton II,Gol,G,28.95,11,11.7,24.4,16.7,13.9,10,0.7,29,0.759,10,0.5,0.756,0.76,6,2.2,9.9,0.9,11.8,1.27,0.09,0.64,7.8,135.4,85.2
,Elfrid Payton,Pho,G,27.72,5,14.9,31.1,22.2,18.2,8,0.5,27,0.556,1,0,0.536,0.539,6.8,3.4,12.2,3,29.2,0.6,0,1.4,11,107.5,99.1
,Jamorko Pickett,Det,F,23.89,3,2.9,6,9.9,50,0,0,0,0,1,1,1.5,1.5,1,0,0,0,0,0,0,0.33,0,,
,Mason Plumlee,Cha,F-C,31.69,13,27.1,56.4,11.3,16.7,34,0.294,65,0.585,0,0,0.585,0.538,6.6,7.5,14.4,2.8,13.8,0.92,1.15,1.23,7.6,114,104.1
,Jakob Poeltl,San,C,26.08,7,29.8,62.1,18,13.5,13,0.385,71,0.648,0,0,0.648,0.632,13.9,9.7,17.2,2.6,12.6,0.86,1.14,1.71,9.5,127.4,98.9
,Aleksej Pokusevski,Okc,C,19.88,10,14.7,30.7,19,19.8,6,0.667,23,0.435,27,0.259,0.41,0.427,4.5,4.2,14.2,1.1,11.8,0.6,0.3,1.3,7.5,81,99.4
,Jordan Poole,Gol,G,22.4,11,29.6,61.6,26.4,11.9,20,0.95,79,0.57,90,0.322,0.524,0.551,17.8,2.9,5.2,3.4,17.8,1.36,0.27,2.18,7.6,104.3,95.3
,Kevin Porter Jr.,Hou,G-F,21.52,11,31.7,66.1,23.7,25.3,38,0.684,69,0.42,62,0.306,0.439,0.477,12.8,4.1,6.8,5.2,25.5,1.27,0.36,4.55,8.2,87.2,104.3
,Michael Porter Jr.,Den,F,23.37,9,29.5,61.4,19.8,10.1,9,0.556,55,0.491,48,0.208,0.408,0.416,9.9,6.6,12.2,1.9,9.2,1.11,0.22,1.33,6.8,86.6,97.8
,Otto Porter Jr.,Gol,F,28.44,10,17,35.3,14.7,8.5,6,0.833,18,0.556,33,0.485,0.667,0.68,7.3,4.4,13.7,1.2,9.9,0.9,0.5,0.5,7.9,131.2,91.1
,Bobby Portis,Mil,F,26.75,7,24.5,51.1,25.3,10.8,11,0.727,59,0.424,27,0.37,0.465,0.484,12.6,7.4,15.7,1,6.6,0.86,1,1.57,7.4,100.3,100.2
,Kristaps Porzingis,Dal,F-C,26.28,6,27.2,56.7,27.9,8.7,22,0.818,54,0.444,31,0.29,0.441,0.491,15.5,7.5,14.3,1.3,8.4,0.67,1.33,1.5,7.8,101.4,99.3
,Dwight Powell,Dal,F-C,30.32,11,23.8,49.5,13.3,15.1,26,0.654,45,0.644,11,0.364,0.625,0.645,7.9,5,10.9,1,6.4,0.82,0.91,1.09,5.7,125.5,97.7
,Norman Powell,Por,G,28.47,10,28.7,59.7,22.3,4.7,39,0.821,72,0.542,53,0.472,0.612,0.651,18.5,2.7,5,1.6,8.8,0.9,0.6,0.7,6,130.3,109.4
,Joshua Primo,San,G,18.89,3,3,6.3,9.4,0,0,0,1,1,1,1,1.25,1.25,1.7,0.3,5.9,0.3,16.2,0,0,0,7.1,,
,Taurean Prince,Min,F,27.64,9,14,29.2,14.5,13.5,8,0.625,11,0.364,24,0.167,0.286,0.325,2.8,2.1,7.7,0.7,6.6,0.33,0,0.67,4.6,74.4,105.4
,Payton Pritchard,Bos,G,23.79,10,10.7,22.2,13.1,15.6,0,0,7,0.286,20,0.3,0.407,0.407,2.2,1.7,8.5,1.2,15.7,0,0.2,0.5,6.2,92,100.7
,Immanuel Quickley,Nyk,G,22.41,12,16.2,33.7,21.9,8.2,21,0.905,35,0.429,45,0.311,0.45,0.51,7.6,1.7,5.5,2.1,19.2,0.67,0,0.67,7.4,110.1,108.1
,Jahmi'us Ramsey,Sac,G,20.43,2,12.1,25.2,10.4,0,2,0,3,0.667,2,0.5,0.7,0.595,3.5,0,0,0,0,0,0.5,0,0,111.9,115.6
,Julius Randle,Nyk,F-C,26.95,12,35.9,74.8,28.4,12.9,65,0.8,141,0.461,73,0.37,0.493,0.542,21.9,10.5,15.5,5.2,23.7,0.67,1,3,11.8,110.5,104.7
,Austin Reaves,Lal,G,23.46,10,21.3,44.5,11.3,13.9,8,1,18,0.722,28,0.321,0.576,0.616,6.1,2,4.9,1,6.1,0.3,0.2,0.8,4.3,112.4,104.5
,Cam Reddish,Atl,F-G,22.2,12,23.1,48,24,12.9,27,0.889,69,0.435,54,0.389,0.5,0.545,12.3,2.7,6.2,0.8,5.5,1.25,0.08,1.67,5.2,102,110.2
,Paul Reed,Phi,F,22.41,10,10.8,22.4,13,9.7,0,0,26,0.615,2,0,0.571,0.571,3.2,3.1,15.8,0.6,8,0.9,0.7,0.3,6.7,129.9,92
,Naz Reid,Min,C-F,22.21,10,15.6,32.4,22.8,9.3,23,0.739,39,0.564,29,0.345,0.544,0.582,9.1,3.4,11.2,1,11.1,0.7,0.9,0.8,8,117.3,96.8
,Nick Richards,Cha,C,23.95,10,8.7,18.1,15.3,24.8,5,1,22,0.636,0,0,0.636,0.682,3.3,1.8,10.7,0.2,3.3,0.4,0.7,0.8,4.9,109.6,97.4
,Josh Richardson,Bos,G,28.16,9,23.6,49.2,15.4,10.7,9,0.778,35,0.543,28,0.357,0.54,0.56,8.3,2.7,6,1.2,7.9,0.78,0.56,0.89,5.1,109.7,103.3
,Austin Rivers,Den,G,29.28,9,12.5,25.9,13.4,17.7,2,0.5,15,0.333,12,0.167,0.296,0.305,1.9,1.1,4.9,0.8,8.1,0.33,0.11,0.67,3.8,69,100
,Duncan Robinson,Mia,F,27.56,12,29.5,61.5,16.6,7.3,8,0.625,14,0.429,109,0.312,0.463,0.47,9.9,4.4,8.1,1.4,6.7,0.67,0.5,0.83,5.3,98.2,95.9
,Jeremiah Robinson-Earl,Okc,F,21.02,10,16.8,35,13.9,18.3,4,0.5,21,0.619,22,0.409,0.616,0.614,5.5,3.7,11,0.4,3.9,0.3,0.3,1,4.8,108.1,104.8
,Justin Robinson,Mil,G,24.09,11,14.5,30.2,13.1,16.4,2,1,14,0.5,26,0.308,0.475,0.489,3.6,1.1,3.9,1.1,10.3,0.64,0,0.73,4.5,94.8,104.5
,Mitchell Robinson,Nyk,C-F,23.62,11,27,56.3,8.3,15.9,26,0.577,36,0.833,0,0,0.833,0.79,6.8,8.2,16.1,1.1,5.6,0.45,1.64,0.82,5.8,153,101.4
,Isaiah Roby,Okc,F,23.77,5,10.3,21.4,22.3,11.2,4,1,15,0.533,7,0.286,0.5,0.547,5.2,2.2,10.7,0.4,7,0,0.2,0.6,6.4,108.4,96.2
,Rajon Rondo,Lal,G,35.72,7,15.6,32.5,19.9,26.9,0,0,25,0.28,13,0.308,0.342,0.342,3.7,1.9,6.2,4.4,36.9,1,0.14,2,8,79.9,101.9
,Derrick Rose,Nyk,G,33.1,12,23.2,48.2,24.3,10.4,14,0.929,87,0.46,45,0.489,0.553,0.575,13.3,3,6.9,3.3,24.1,1.17,0.33,1.33,8.8,116.7,113.5
,Terrence Ross,Orl,G-F,30.77,12,25.6,53.2,17.8,11,29,0.759,53,0.509,47,0.277,0.465,0.51,9.6,1.9,4,1.8,11.4,0.58,0.25,1.17,5,101.2,112.7
,Terry Rozier,Cha,G,27.66,8,31.9,66.5,23.5,11.7,17,0.882,63,0.429,58,0.259,0.409,0.444,14.3,3.8,6.1,3.1,13.9,1.13,0.25,2.13,6.9,90.1,114.3
,Ricky Rubio,Cle,G,31.06,12,27.9,58.1,25.5,18.4,32,0.875,85,0.4,61,0.41,0.49,0.534,14.3,3.8,7.4,6.7,37.3,1.25,0.17,3,10.2,105.8,101.6
,D'Angelo Russell,Min,G,25.72,8,30.3,63.2,27.4,15.5,17,0.824,61,0.443,68,0.338,0.477,0.502,17.1,3.6,6.1,5.1,29.3,0.75,0.75,3.13,9,99.1,108
,Domantas Sabonis,Ind,F-C,25.53,13,36.1,75.2,21.6,18.3,49,0.714,131,0.672,39,0.231,0.597,0.621,18.3,11.2,17.1,3.8,16.6,1.46,0.38,3.31,10.2,114.8,98.3
,Tomas Satoransky,Nor,G,30.04,7,14.7,30.7,12.5,19.5,4,0.75,18,0.333,5,0.2,0.326,0.363,2.6,1.6,5.6,1.7,16.3,0.57,0,0.86,5.2,79.8,112.8
,Dennis Schroder,Bos,G,28.16,11,31.9,66.5,23.1,15.1,40,0.85,91,0.429,49,0.327,0.45,0.508,14.5,3.8,6.4,5.8,28.6,1.18,0.09,2.55,8.6,104.7,104.5
,Jay Scrubb,Lac,G,21.2,2,6.1,12.7,24.4,0,2,0.5,4,0.25,2,0.5,0.417,0.436,3,0.5,4.2,0,0,0,0,0,0,89.2,84.4
,Wayne Selden,Nyk,G,27.12,1,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Alperen Sengun,Hou,C,19.3,10,19.3,40.2,23.1,24.4,42,0.667,50,0.48,12,0.417,0.508,0.565,9.1,4.4,12.1,2.4,19.8,1.7,0.5,2.6,9.5,99.5,90.3
,Collin Sexton,Cle,G,22.85,11,28.8,59.9,27.4,16.1,39,0.744,105,0.543,45,0.244,0.49,0.526,16,3.3,6.1,2.1,12.1,0.91,0,2.91,6.7,96.4,104.1
,Landry Shamet,Pho,G,24.67,9,16.9,35.3,16.5,6.9,12,0.833,14,0.5,35,0.4,0.571,0.608,7.3,2,6.3,1.2,9.6,0.11,0,0.44,6.1,120,106.5
,Day'Ron Sharpe,Bro,F,20.02,6,4,8.3,25.6,21.8,4,0.5,7,0.571,2,0.5,0.611,0.604,2.2,1.3,17.4,0,0,0.33,0.17,0.5,0,103.1,89.7
,Pascal Siakam,Tor,F,27.61,2,27.5,57.2,20.2,15.3,7,0.857,15,0.467,4,0.25,0.447,0.521,11.5,5.5,10.9,2,10.7,1.5,1,2,7.3,102.3,94.8
,Anfernee Simons,Por,G,22.43,12,22.9,47.8,21.6,7.2,7,1,58,0.534,68,0.382,0.556,0.569,12.3,2.3,5.4,2.1,14,0.5,0.08,0.83,6.8,115.3,109.9
,Jericho Sims,Nyk,C,23.06,5,5.1,10.6,5,34.7,2,0.5,1,1,0,0,1,0.798,0.6,1.2,12.5,0,0,0.2,0,0.2,0,93.1,102.6
,Marcus Smart,Bos,G,27.69,10,35.2,73.3,14.7,16,24,0.667,32,0.406,57,0.281,0.416,0.452,9,3.4,5.2,4.2,16.8,2.3,0.5,1.9,5.7,92.6,102.9
,Dennis Smith Jr.,Por,G,23.97,6,11.8,24.5,15.2,27.9,7,0.429,12,0.417,3,0.667,0.533,0.525,3.2,1.7,7.5,2.2,24.3,1.33,0.33,1.17,7.8,97.6,100.4
,Ish Smith,Cha,G,33.35,11,16.6,34.6,20.5,13.2,6,0.333,74,0.392,2,0.5,0.401,0.401,5.7,1.5,4.8,3.1,26.4,0.55,0.27,1.09,7.2,87.9,113.6
,Jalen Smith,Pho,F-C,21.66,2,9.2,19.1,21.9,10.7,3,1,6,0.5,1,0,0.429,0.541,4.5,3,17.5,0,0,0.5,0.5,0.5,0,110.9,96.3
,Tony Snell,Por,G,30.01,6,7.6,15.9,6.6,0,0,0,0,0,7,0.429,0.643,0.643,1.5,0.7,4.6,0.2,2.8,0.17,0,0,3.1,134.3,106.1
,Jaden Springer,Phi,G,19.13,1,2.1,4.4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Lamar Stevens,Cle,F,24.35,8,11.3,23.5,13.7,7,1,1,19,0.263,7,0.286,0.308,0.321,2.1,1.8,8.3,0.1,1.5,0.25,0.13,0.25,2.6,80.3,102.1
,Isaiah Stewart,Det,F-C,20.48,10,23,47.8,13.5,13.7,5,0.6,55,0.618,6,0.167,0.582,0.585,7.4,7.1,16.7,1.1,8.2,0.6,1.3,1,6.7,113.7,99.2
,Max Strus,Mia,G-F,25.62,7,17.2,35.9,16.2,8.8,3,0.333,8,0.5,32,0.344,0.513,0.508,6,2.9,8.9,0.7,5.9,0.43,0.14,0.57,5.4,100.7,102.5
,Jalen Suggs,Orl,G,20.44,12,28.4,59.2,26.3,20.2,43,0.837,84,0.381,63,0.206,0.35,0.419,11.6,3.3,6.2,3.6,20.2,0.75,0.42,3.5,7.3,81.5,105.2
,Jae'Sean Tate,Hou,F,26.04,11,27.8,58,18.3,16.4,30,0.733,71,0.577,28,0.286,0.535,0.57,11.6,6.8,13,2,11.6,0.73,0.64,2,7.8,109.1,100.2
,Jayson Tatum,Bos,F-G,23.7,11,37.2,77.5,31.4,9.2,53,0.755,159,0.421,85,0.329,0.447,0.483,23.5,8.7,12.5,3.6,17.4,1,0.73,2.45,9.7,97.8,99.8
,Garrett Temple,Nor,G-F,35.52,10,21.2,44.2,12.9,13.7,15,0.8,24,0.417,26,0.346,0.47,0.521,5.9,3.4,8.4,1.7,11.6,1.1,0.7,0.9,6.1,109.1,107.6
,Daniel Theis,Hou,F-C,29.61,9,23.5,49.1,14.7,9.4,15,0.8,40,0.625,21,0.333,0.582,0.614,9.2,4.9,11,0.7,4.5,0.44,0.56,0.78,5.4,120.3,102.2
,Cam Thomas,Bro,G,20.08,7,3.8,8,21.3,15.5,2,1,8,0.125,2,0,0.1,0.184,0.6,0.3,3.9,0.3,9.6,0,0.14,0.29,4,,
,Matt Thomas,Chi,G,27.27,3,1.9,3.9,15.7,0,0,0,2,0,0,0,0,0,0,0.3,9.6,0,0,0,0,0,0,,
,Tristan Thompson,Sac,C-F,30.67,7,12.6,26.3,15.5,18.7,7,0.714,23,0.565,0,0,0.565,0.594,4.4,4.3,17.9,0.6,6.4,0.14,0.29,0.86,7.1,119.6,99.6
,JT Thor,Cha,F,19.21,2,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Matisse Thybulle,Phi,G-F,24.69,9,25,52,9.8,16.4,2,1,21,0.619,19,0.316,0.55,0.563,5.1,2.3,5.1,1.3,7,2.33,1.67,0.89,4,106.6,106.4
,Killian Tillie,Mem,F-C,23.69,3,7.1,14.9,15.6,12.5,0,0,3,0,4,0,0,0,0,1.7,12.4,0,0,1,0.67,0.33,0,27.8,107.3
,Xavier Tillman Sr.,Mem,F,22.83,8,14.8,30.9,12.8,13.8,5,0.6,20,0.65,9,0.111,0.5,0.513,4,3.3,11.6,1.1,10.3,1.63,0.13,0.63,6.6,108.5,108.5
,Isaiah Todd,Was,F,20.07,1,4.5,9.4,28.2,0,2,0.5,0,0,2,0.5,0.75,0.694,4,1,11.7,0,0,1,0,0,0,133.1,93.8
,Obi Toppin,Nyk,F,23.69,12,14.8,30.9,19.4,8.9,29,0.69,42,0.786,17,0.118,0.61,0.641,7.7,2.8,10.1,1.1,11.7,0.42,0.83,0.58,7.8,128.6,102.7
,Juan Toscano-Anderson,Gol,F,28.59,11,13.1,27.4,14.6,16.2,10,0.8,17,0.588,20,0.35,0.554,0.592,4.5,2,8.1,1.5,14.8,0.73,0.36,0.73,7.3,113.4,93
,Karl-Anthony Towns,Min,C-F,25.99,10,35.7,74.3,25.8,17.5,42,0.857,96,0.49,70,0.471,0.581,0.621,22.9,9.9,14.2,3.5,17.6,1.6,1.2,3.9,10.4,114.5,102.4
,Gary Trent Jr.,Tor,G-F,22.82,13,33.9,70.7,20.1,7.2,23,0.87,99,0.475,84,0.345,0.495,0.52,15.5,3.3,5.3,1.5,6.9,2.46,0.46,1.15,5,107.5,103.5
,P.J. Tucker,Mia,F,36.52,12,27.7,57.8,9.2,15.5,9,0.778,26,0.577,30,0.333,0.536,0.559,5.6,6,11.6,1.4,6.8,0.42,0.08,0.92,5.2,117.6,99.1
,Myles Turner,Ind,C-F,25.64,13,28.4,59.2,18.5,13.9,42,0.69,55,0.655,63,0.444,0.661,0.678,14.2,8.5,16.5,1.2,6.4,0.54,3.15,1.69,7.4,123,100.6
,Jonas Valanciunas,Nor,C,29.52,12,34,70.8,23.6,11.7,52,0.885,158,0.5,22,0.545,0.539,0.591,20,14,21.5,2.7,14.1,0.75,0.92,2.25,10.7,117.8,104
,Denzel Valentine,Cle,G,27.99,6,2.2,4.5,16.6,0,0,0,3,0.333,2,0.5,0.5,0.5,0.8,0.2,4.1,0,0,0.17,0,0,0,,
,Jarred Vanderbilt,Min,F,22.61,10,19.1,39.7,12.4,19.2,12,0.917,36,0.556,5,0,0.488,0.551,5.1,6,16.1,0.9,7,0.9,0.6,1.1,6.3,110.7,97.3
,Fred VanVleet,Tor,G,27.71,13,38.6,80.5,22.5,13.5,36,0.833,113,0.469,101,0.396,0.528,0.557,19.7,5,7,7.1,28.5,1.62,0.38,2.77,9.2,114.4,106
